id,ui,page,kind,element,type,reference,outcome,status,note
UI01.32,UI01,hr-overview,control,Finance,button,,STATE,PASS,State: section HR/Overview -> Finance/
UI01.33,UI01,hr-overview,control,HR,button,,NOOP,PASS,Current department; no action by design
UI01.34,UI01,hr-overview,control,Inventory,button,,STATE,PASS,State: section HR/Overview -> Inventory/
UI01.35,UI01,hr-overview,control,Procurement,button,,STATE,PASS,State: section HR/Overview -> Procurement/
UI01.36,UI01,hr-overview,control,Sales,button,,STATE,PASS,State: section HR/Overview -> Sales/
UI01.37,UI01,hr-attendance,control,CRM,button,,STATE,PASS,State: section HR/Attendance -> CRM/
UI01.38,UI01,hr-attendance,control,Finance,button,,STATE,PASS,State: section HR/Attendance -> Finance/
UI01.39,UI01,hr-attendance,control,HR,button,,NOOP,PASS,Current department; no action by design
UI01.40,UI01,hr-attendance,control,Inventory,button,,STATE,PASS,State: section HR/Attendance -> Inventory/
UI01.41,UI01,hr-attendance,control,Procurement,button,,STATE,PASS,State: section HR/Attendance -> Procurement/
UI01.42,UI01,hr-attendance,control,Sales,button,,STATE,PASS,State: section HR/Attendance -> Sales/
UI01.43,UI01,hr-time_off,control,CRM,button,,STATE,PASS,State: section HR/Time off -> CRM/
UI01.44,UI01,hr-time_off,control,Finance,button,,STATE,PASS,State: section HR/Time off -> Finance/
UI01.45,UI01,hr-time_off,control,HR,button,,NOOP,PASS,Current department; no action by design
UI01.46,UI01,hr-time_off,control,Inventory,button,,STATE,PASS,State: section HR/Time off -> Inventory/
UI01.47,UI01,hr-time_off,control,Procurement,button,,STATE,PASS,State: section HR/Time off -> Procurement/
UI01.48,UI01,hr-time_off,control,Sales,button,,STATE,PASS,State: section HR/Time off -> Sales/
UI01.49,UI01,hr-shifts,control,CRM,button,,STATE,PASS,State: section HR/Shifts -> CRM/
UI01.50,UI01,hr-shifts,control,Finance,button,,STATE,PASS,State: section HR/Shifts -> Finance/
UI01.51,UI01,hr-shifts,control,HR,button,,NOOP,PASS,Current department; no action by design
UI01.52,UI01,hr-shifts,control,Inventory,button,,STATE,PASS,State: section HR/Shifts -> Inventory/
UI01.53,UI01,hr-shifts,control,Procurement,button,,STATE,PASS,State: section HR/Shifts -> Procurement/
UI01.54,UI01,hr-shifts,control,Sales,button,,STATE,PASS,State: section HR/Shifts -> Sales/
UI01.55,UI01,hr-employees,control,CRM,button,,STATE,PASS,State: section HR/Employees -> CRM/
UI01.56,UI01,hr-employees,control,Finance,button,,STATE,PASS,State: section HR/Employees -> Finance/
UI01.57,UI01,hr-employees,control,HR,button,,NOOP,PASS,Current department; no action by design
UI01.58,UI01,hr-employees,control,Inventory,button,,STATE,PASS,State: section HR/Employees -> Inventory/
UI01.59,UI01,hr-employees,control,Procurement,button,,STATE,PASS,State: section HR/Employees -> Procurement/
UI01.60,UI01,hr-employees,control,Sales,button,,STATE,PASS,State: section HR/Employees -> Sales/
UI02.01,UI02,finance,nested control,[inline: Period (Custom range)] From,input[date],,STATE,PASS,State: content changed
UI02.02,UI02,finance,nested control,[inline: Period (Custom range)] To,input[date],,STATE,PASS,State: content changed
UI02.03,UI02,finance,reference control,This month …,reference control,present,REFERENCE-ONLY,PASS,Same period selector operated in Odoo
UI02.04,UI02,sales,nested control,[inline: Period (Custom range)] From,input[date],,STATE,PASS,State: content changed
UI02.05,UI02,sales,nested control,[inline: Period (Custom range)] To,input[date],,STATE,PASS,State: content changed
UI02.06,UI02,sales,reference control,This month …,reference control,present,REFERENCE-ONLY,PASS,Same period selector operated in Odoo
UI02.07,UI02,inventory,control,Inventory · Stock date,input[date],,STATE,PASS,State: content changed
UI02.08,UI02,inventory,nested control,[inline: Period (Custom range)] From,input[date],,STATE,PASS,State: content changed
UI02.09,UI02,inventory,nested control,[inline: Period (Custom range)] To,input[date],,STATE,PASS,State: content changed
UI02.10,UI02,inventory,reference control,This month …,reference control,present,REFERENCE-ONLY,PASS,Same period selector operated in Odoo
UI02.11,UI02,procurement,nested control,[inline: Period (Custom range)] From,input[date],,STATE,PASS,State: content changed
UI02.12,UI02,procurement,nested control,[inline: Period (Custom range)] To,input[date],,STATE,PASS,State: content changed
UI02.13,UI02,procurement,reference control,This month …,reference control,present,REFERENCE-ONLY,PASS,Same period selector operated in Odoo
UI02.14,UI02,crm,nested control,[inline: Period (Custom range)] From,input[date],,STATE,PASS,State: content changed
UI02.15,UI02,crm,nested control,[inline: Period (Custom range)] To,input[date],,STATE,PASS,State: content changed
UI02.16,UI02,crm,reference control,This month …,reference control,present,REFERENCE-ONLY,PASS,Same period selector operated in Odoo
UI03.01,UI03,finance,nested control,[inline: Edit] Balance as of,input[date],,STATE,PASS,State: content changed
UI03.02,UI03,finance,reference control,Change balance cutoff,reference control,present,REFERENCE-ONLY,PASS,Same control operated in Odoo ('Edit' balance cutoff)
UI03.03,UI03,sales,nested control,[inline: Edit] Balance as of,input[date],,STATE,PASS,State: content changed
UI03.04,UI03,sales,reference control,Change balance cutoff,reference control,present,REFERENCE-ONLY,PASS,Same control operated in Odoo ('Edit' balance cutoff)
UI03.05,UI03,inventory,control,Inventory · record row (sampled 2 of 10),button,,REQUEST,PASS,Reloaded its source; same data
UI03.06,UI03,inventory,nested control,[inline: Edit] Balance as of,input[date],,STATE,PASS,State: content changed
UI03.07,UI03,inventory,reference control,Change balance cutoff,reference control,present,REFERENCE-ONLY,PASS,Same control operated in Odoo ('Edit' balance cutoff)
UI03.08,UI03,procurement,nested control,[inline: Edit] Balance as of,input[date],,STATE,PASS,State: content changed
UI03.09,UI03,procurement,reference control,Change balance cutoff,reference control,present,REFERENCE-ONLY,PASS,Same control operated in Odoo ('Edit' balance cutoff)
UI03.10,UI03,crm,nested control,[inline: Edit] Balance as of,input[date],,STATE,PASS,State: content changed
UI03.11,UI03,crm,reference control,Change balance cutoff,reference control,present,REFERENCE-ONLY,PASS,Same control operated in Odoo ('Edit' balance cutoff)
UI04.01,UI04,finance,nested control,[dialog: Saved views] Saved views · Reset view,button,,CLOSED,PASS,Closed its dialog or menu and loaded the linked view
UI04.02,UI04,finance,nested control,[menu: More] Export summary CSV,button,,DOWNLOAD,PASS,Download: executive-summary.csv
UI04.03,UI04,finance,nested control,[menu: More] Print summary,button,,DIALOG,PASS,Dialog: Print preview
UI04.04,UI04,finance,nested control,[menu: More] Reset view,button,,STATE,PASS,State: content changed (+9 rpc)
UI04.05,UI04,sales,nested control,[menu: More] Export summary CSV,button,,DOWNLOAD,PASS,Download: executive-summary.csv
UI04.06,UI04,sales,nested control,[menu: More] Print summary,button,,DIALOG,PASS,Dialog: Print preview
UI04.07,UI04,sales,nested control,[menu: More] Reset view,button,,STATE,PASS,State: section Sales/ -> Finance/
UI04.08,UI04,inventory,nested control,[menu: More] Export summary CSV,button,,DOWNLOAD,PASS,Download: executive-summary.csv
UI04.09,UI04,inventory,nested control,[menu: More] Print summary,button,,DIALOG,PASS,Dialog: Print preview
UI04.10,UI04,inventory,nested control,[menu: More] Reset view,button,,STATE,PASS,State: section Inventory/ -> Finance/
UI04.11,UI04,procurement,nested control,[menu: More] Export summary CSV,button,,DOWNLOAD,PASS,Download: executive-summary.csv
UI04.12,UI04,procurement,nested control,[menu: More] Print summary,button,,DIALOG,PASS,Dialog: Print preview
UI04.13,UI04,procurement,nested control,[menu: More] Reset view,button,,STATE,PASS,State: section Procurement/ -> Finance/
UI04.14,UI04,crm,nested control,[menu: More] Export summary CSV,button,,DOWNLOAD,PASS,Download: executive-summary.csv
UI04.15,UI04,crm,nested control,[menu: More] Print summary,button,,DIALOG,PASS,Dialog: Print preview
UI04.16,UI04,crm,nested control,[menu: More] Reset view,button,,STATE,PASS,State: section CRM/ -> Finance/
UI04.17,UI04,hr-overview,nested control,[menu: More] Export summary CSV,button,,DOWNLOAD,PASS,Download: executive-summary.csv
UI04.18,UI04,hr-overview,nested control,[menu: More] Print summary,button,,DIALOG,PASS,Dialog: Print preview
UI04.19,UI04,hr-overview,nested control,[menu: More] Reset view,button,,STATE,PASS,State: section HR/Overview -> Finance/
UI04.20,UI04,hr-attendance,nested control,[menu: More] Export summary CSV,button,,DOWNLOAD,PASS,Download: executive-summary.csv
UI04.21,UI04,hr-attendance,nested control,[menu: More] Print summary,button,,DIALOG,PASS,Dialog: Print preview
UI04.22,UI04,hr-attendance,nested control,[menu: More] Reset view,button,,STATE,PASS,State: section HR/Attendance -> Finance/
UI04.23,UI04,hr-time_off,nested control,[menu: More] Export summary CSV,button,,DOWNLOAD,PASS,Download: executive-summary.csv
UI04.24,UI04,hr-time_off,nested control,[menu: More] Print summary,button,,DIALOG,PASS,Dialog: Print preview
UI04.25,UI04,hr-time_off,nested control,[menu: More] Reset view,button,,STATE,PASS,State: section HR/Time off -> Finance/
UI04.26,UI04,hr-shifts,nested control,[menu: More] Export summary CSV,button,,DOWNLOAD,PASS,Download: executive-summary.csv
UI04.27,UI04,hr-shifts,nested control,[menu: More] Print summary,button,,DIALOG,PASS,Dialog: Print preview
UI04.28,UI04,hr-shifts,nested control,[menu: More] Reset view,button,,STATE,PASS,State: section HR/Shifts -> Finance/
UI04.29,UI04,hr-employees,nested control,[menu: More] Export summary CSV,button,,DOWNLOAD,PASS,Download: executive-summary.csv
UI04.30,UI04,hr-employees,nested control,[menu: More] Print summary,button,,DIALOG,PASS,Dialog: Print preview
UI04.31,UI04,hr-employees,nested control,[menu: More] Reset view,button,,STATE,PASS,State: section HR/Employees -> Finance/
UI05.01,UI05,finance,component,Net profit,titled component,present,COMPARED,PASS,Present in both; paired capture inspected
UI05.02,UI05,finance,component,Profitability,titled component,present,COMPARED,PASS,Present in both; paired capture inspected
UI05.03,UI05,finance,component,Revenue,titled component,present,COMPARED,PASS,Present in both; paired capture inspected
UI05.04,UI05,finance,control,Net profit · Source & definition,button,,DIALOG,PASS,Dialog: Net profit
UI05.05,UI05,finance,control,Revenue · Source & definition,button,,DIALOG,PASS,Dialog: Revenue
UI05.06,UI05,finance,nested control,[dialog: Source & definition] Revenue · Back to dashboard,button,,CLOSED,PASS,Closed its dialog or menu
UI05.07,UI05,finance,nested control,[dialog: Source & definition] Revenue · Close,button,,CLOSED,PASS,Closed its dialog or menu
UI05.08,UI05,finance,reference control,"Profitability · Gross profit: 464,800 EGP",reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI05.09,UI05,finance,reference control,Profitability · Gross profit: Source & definition,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI05.10,UI05,finance,reference control,"Profitability · Net profit: 182,400 EGP",reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI05.11,UI05,finance,reference control,Profitability · Net profit: Source & definition,reference control,present,REFERENCE-ONLY,PASS,Same control operated in Odoo ('Source & definition' on that card)
UI05.12,UI05,finance,reference control,"Profitability · Operating expenses: 282,400 EGP",reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI05.13,UI05,finance,reference control,Profitability · Operating expenses: Source & definition,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI05.14,UI05,finance,reference control,"Profitability · Overdue: 36,300 EGP",reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI05.15,UI05,finance,reference control,Profitability · Overdue: Source & definition,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI05.16,UI05,finance,reference control,"Profitability · Revenue: 1,284,000 EGP",reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI05.17,UI05,finance,reference control,Profitability · Revenue: Source & definition,reference control,present,REFERENCE-ONLY,PASS,Same control operated in Odoo ('Source & definition' on that card)
UI05.18,UI05,finance,reference control,"Profitability · Today: 12,500 EGP",reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI05.19,UI05,finance,reference control,Profitability · Today: Source & definition,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI05.20,UI05,finance,reference control,Profitability · record row,reference control x2,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI05.21,UI05,finance,reference control,Profitability · record row,reference control x2,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI05.22,UI05,finance,reference control,Profitability · record row,reference control x3,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.01,UI06,finance,component,Revenue & profit,titled component,present,COMPARED,PASS,Present in both; paired capture inspected
UI06.02,UI06,finance,control,Revenue & profit · View report,button,,DISABLED,PASS,Disabled by state (disabled at load)
UI06.03,UI06,finance,reference control,Revenue & profit · Apr gross profit — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.04,UI06,finance,reference control,Revenue & profit · Apr net profit — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.05,UI06,finance,reference control,Revenue & profit · Apr revenue — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.06,UI06,finance,reference control,Revenue & profit · Aug gross profit — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.07,UI06,finance,reference control,Revenue & profit · Aug net profit — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.08,UI06,finance,reference control,Revenue & profit · Aug revenue — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.09,UI06,finance,reference control,Revenue & profit · Jul gross profit — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.10,UI06,finance,reference control,Revenue & profit · Jul net profit — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.11,UI06,finance,reference control,Revenue & profit · Jul revenue — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.12,UI06,finance,reference control,Revenue & profit · Jun gross profit — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.13,UI06,finance,reference control,Revenue & profit · Jun net profit — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.14,UI06,finance,reference control,Revenue & profit · Jun revenue — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.15,UI06,finance,reference control,Revenue & profit · May gross profit — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.16,UI06,finance,reference control,Revenue & profit · May net profit — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.17,UI06,finance,reference control,Revenue & profit · May revenue — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.18,UI06,finance,reference control,Revenue & profit · Sep* gross profit — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.19,UI06,finance,reference control,Revenue & profit · Sep* net profit — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.20,UI06,finance,reference control,Revenue & profit · Sep* revenue — open report,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.21,UI06,finance,reference control,Revenue & profit · View chart as a table,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI06.22,UI06,finance,reference control,Revenue & profit · record row,reference control x18,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI07.01,UI07,finance,component,Performance context,titled component,present,COMPARED,PASS,Present in both; paired capture inspected
UI07.02,UI07,finance,control,Performance context · Source & definition,button,,DIALOG,PASS,Dialog: Revenue
UI08.01,UI08,finance,component,Bank & cash,titled component,present,COMPARED,PASS,Present in both; paired capture inspected
UI08.02,UI08,finance,control,Bank & cash · Source & definition,button,,DIALOG,PASS,Dialog: Bank & cash
UI08.03,UI08,finance,control,Bank & cash · View accounts,button,,DIALOG,PASS,Dialog: Bank & cash accounts
UI08.04,UI08,finance,reference control,Bank & cash · Cash source and definition,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI08.05,UI08,finance,reference control,"Bank & cash · EGP 640,000",reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI09.01,UI09,finance,component,Payables,titled component,present,COMPARED,PASS,Present in both; paired capture inspected
UI09.02,UI09,finance,component,Receivables,titled component,present,COMPARED,PASS,Present in both; paired capture inspected
UI09.03,UI09,finance,control,Payables · Source & definition,button,,DIALOG,PASS,Dialog: Payables
UI09.04,UI09,finance,control,Receivables · Source & definition,button,,DIALOG,PASS,Dialog: Receivables
UI09.05,UI09,finance,reference control,Payables · Partner Ledger,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI09.06,UI09,finance,reference control,Payables · Payables: Source and definition,reference control,present,REFERENCE-ONLY,PASS,Same control operated in Odoo ('Source & definition' on that card)
UI09.07,UI09,finance,reference control,Payables · View all aging buckets,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI09.08,UI09,finance,reference control,Payables · record row,reference control x2,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI09.09,UI09,finance,reference control,Payables · record row,reference control x6,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI09.10,UI09,finance,reference control,Receivables · Partner Ledger,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI09.11,UI09,finance,reference control,Receivables · Receivables: Source and definition,reference control,present,REFERENCE-ONLY,PASS,Same control operated in Odoo ('Source & definition' on that card)
UI09.12,UI09,finance,reference control,Receivables · View all aging buckets,reference control,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI09.13,UI09,finance,reference control,Receivables · record row,reference control x2,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI09.14,UI09,finance,reference control,Receivables · record row,reference control x6,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI10.01,UI10,finance,component,Cash flow for the selected period,titled component,present,COMPARED,PASS,Present in both; paired capture inspected
UI10.02,UI10,finance,component,Cash forecast,titled component,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI10.03,UI10,finance,component,Money movement,titled component,present,COMPARED,PASS,Present in both; paired capture inspected
UI10.04,UI10,finance,control,Money movement · View report,button,,DISABLED,PASS,Disabled by state (disabled at load)
UI11.01,UI11,finance,component,Balance sheet,titled component,present,COMPARED,PASS,Present in both; paired capture inspected
UI11.02,UI11,finance,component,Supplier payments,titled component,present,REFERENCE-ONLY,BLOCKED,"Needs Enterprise account_reports (adams_dashboard_finance), not installable in the local Community run; the finance area shows its not-installed state. Verify on the Odoo.sh build."
UI11.03,UI11,finance,control,Balance sheet · View report,button,,DISABLED,PASS,Disabled by state (disabled at load)
UI12.01,UI12,sales,component,Confirmed orders,titled component,present,COMPARED,PASS,Present in both; paired capture inspected
UI12.02,UI12,sales,component,Invoiced sales,titled component,present,COMPARED,PASS,Present in both; paired capture inspected
UI12.03,UI12,sales,component,Sales performance,titled component,present,COMPARED,PASS,Present in both; paired capture inspected
UI12.04,UI12,sales,control,Confirmed orders · Source & definition,button,,DIALOG,PASS,Dialog: Confirmed orders
UI12.05,UI12,sales,control,Confirmed orders · metric value,button,,NAV,PASS,Opened native Sales Analysis
UI12.06,UI12,sales,control,Invoiced sales · Source & definition,button,,DIALOG,PASS,Dialog: Invoiced sales
UI12.07,UI12,sales,control,Invoiced sales · metric value,button,,NAV,PASS,Opened native Invoices Analysis
UI12.08,UI12,sales,nested control,[dialog: Source & definition] Invoiced sales · Back to dashboard,button,,CLOSED,PASS,Closed its dialog or menu
UI12.09,UI12,sales,nested control,[dialog: Source & definition] Invoiced sales · Close,button,,CLOSED,PASS,Closed its dialog or menu
UI12.10,UI12,sales,reference control,"Sales performance · Confirmed orders: 1,687,500 EGP",reference control,present,REFERENCE-ONLY,PASS,Metric value button operated in Odoo on that card (native value opens its report)
UI12.11,UI12,sales,reference control,Sales performance · Confirmed orders: Source & definition,reference control,present,REFERENCE-ONLY,PASS,Same control operated in Odoo ('Source & definition' on that card)
UI12.12,UI12,sales,reference control,"Sales performance · Invoiced sales: 1,284,000 EGP",reference control,present,REFERENCE-ONLY,PASS,Metric value button operated in Odoo on that card (native value opens its report)
UI12.13,UI12,sales,reference control,Sales performance · Invoiced sales: Source & definition,reference control,present,REFERENCE-ONLY,PASS,Same control operated in Odoo ('Source & definition' on that card)
